"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
"Beginning Balance ASB","ASB/Stock","008-00-02",0
,"ASB/Stock","008-00-03",0
,"ASB/Stock","008-01902",0
,"ASB/Stock","04H-00027",0
,"ASB/Stock","04H-00056",0
,"ASB/Stock","04H-00057",0
,"ASB/Stock","0990700577667-180",0
,"ASB/Stock","0990700577667-30",0
,"ASB/Stock","0990700577667-90",0
,"ASB/Stock","1513",0
,"ASB/Stock","1530",0
,"ASB/Stock","1531",0
,"ASB/Stock","1596",0
,"ASB/Stock","1642",0
,"ASB/Stock","1883",0
,"ASB/Stock","1884",0
,"ASB/Stock","18901030593038",0
,"ASB/Stock","1894",0
,"ASB/Stock","1895",0
,"ASB/Stock","1896",0
,"ASB/Stock","1912",0
,"ASB/Stock","309971188558",0
,"ASB/Stock","309971335013",0
,"ASB/Stock","309971335068",0
,"ASB/Stock","309971335075",0
,"ASB/Stock","309971335082",0
,"ASB/Stock","309973676046",0
,"ASB/Stock","309973676060",0
,"ASB/Stock","309974372220",0
,"ASB/Stock","309974372237",0
,"ASB/Stock","309974372244",0
,"ASB/Stock","309974372268",0
,"ASB/Stock","309974372282",0
,"ASB/Stock","309974566056",0
,"ASB/Stock","309974566155",0
,"ASB/Stock","309974566308",0
,"ASB/Stock","309974566452",0
,"ASB/Stock","309974566506",0
,"ASB/Stock","309975564013",0
,"ASB/Stock","309975564051",0
,"ASB/Stock","309975564358",0
,"ASB/Stock","309975726107",0
,"ASB/Stock","309975726257",0
,"ASB/Stock","309975726459",0
,"ASB/Stock","309975726558",0
,"ASB/Stock","309975726602",0
,"ASB/Stock","309976348155",0
,"ASB/Stock","309976348254",0
,"ASB/Stock","309976348308",0
,"ASB/Stock","309976389011",0
,"ASB/Stock","309976623481",0
,"ASB/Stock","309976623498",0
,"ASB/Stock","309976855172",0
,"ASB/Stock","309977710012",0
,"ASB/Stock","309977862049",0
,"ASB/Stock","309977862070",0
,"ASB/Stock","309977862100",0
,"ASB/Stock","309977862148",0
,"ASB/Stock","309978161066",0
,"ASB/Stock","309978161141",0
,"ASB/Stock","309978161189",0
,"ASB/Stock","309978456353",0
,"ASB/Stock","309978456575",0
,"ASB/Stock","309978601012",0
,"ASB/Stock","309978695103",0
,"ASB/Stock","309978695202",0
,"ASB/Stock","309978695301",0
,"ASB/Stock","309978695318",0
,"ASB/Stock","309978695325",0
,"ASB/Stock","309978695332",0
,"ASB/Stock","309978695349",0
,"ASB/Stock","309978695417",0
,"ASB/Stock","309978695424",0
,"ASB/Stock","309978695431",0
,"ASB/Stock","309978695462",0
,"ASB/Stock","309978695547",0
,"ASB/Stock","309978695554",0
,"ASB/Stock","309979824014",0
,"ASB/Stock","3282770037067",0
,"ASB/Stock","3282770037074",0
,"ASB/Stock","3282770037135",0
,"ASB/Stock","3282770037357",0
,"ASB/Stock","3282770037678",0
,"ASB/Stock","3282770038170",0
,"ASB/Stock","3282770049336",0
,"ASB/Stock","3282770049350",0
,"ASB/Stock","3282770049381",0
,"ASB/Stock","3282770053104",0
,"ASB/Stock","3282770053135",0
,"ASB/Stock","3282770080841",0
,"ASB/Stock","3282770100273",0
,"ASB/Stock","3282770100709",0
,"ASB/Stock","3282770100723",0
,"ASB/Stock","3282779003124",0
,"ASB/Stock","3282779003131",0
,"ASB/Stock","3282779027540",0
,"ASB/Stock","3282779051378",0
,"ASB/Stock","3282779051491",0
,"ASB/Stock","3282779206280",0
,"ASB/Stock","3282779254892",0
,"ASB/Stock","3282779275699",0
,"ASB/Stock","3282779335188",0
,"ASB/Stock","3282779363211",0
,"ASB/Stock","3282779365529",0
,"ASB/Stock","3282779390064",0
,"ASB/Stock","3282779400374",0
,"ASB/Stock","3282779402729",0
,"ASB/Stock","3282779402798",0
,"ASB/Stock","3282779402941",0
,"ASB/Stock","3282779405447",0
,"ASB/Stock","3282779405553",0
,"ASB/Stock","3600523192687",0
,"ASB/Stock","4049775006660",0
,"ASB/Stock","4049775007117",0
,"ASB/Stock","4049775007124",0
,"ASB/Stock","4049775007155",0
,"ASB/Stock","4049775414311",0
,"ASB/Stock","4049775414908",0
,"ASB/Stock","4049775514011",0
,"ASB/Stock","4049775514219",0
,"ASB/Stock","4049775514516",0
,"ASB/Stock","4049775515117",0
,"ASB/Stock","4049775516015",0
,"ASB/Stock","4049775516114",0
,"ASB/Stock","4049775525536",0
,"ASB/Stock","4049775530219",0
,"ASB/Stock","4049775530615",0
,"ASB/Stock","4049775531520",0
,"ASB/Stock","4049775531629",0
,"ASB/Stock","4049775532008",0
,"ASB/Stock","4049775532121",0
,"ASB/Stock","4049775532527",0
,"ASB/Stock","4049775532626",0
,"ASB/Stock","4049775532725",0
,"ASB/Stock","4049775532824",0
,"ASB/Stock","4049775533401",0
,"ASB/Stock","4049775533500",0
,"ASB/Stock","4049775536136",0
,"ASB/Stock","4049775536433",0
,"ASB/Stock","4049775536631",0
,"ASB/Stock","4049775537034",0
,"ASB/Stock","4049775538024",0
,"ASB/Stock","4049775538123",0
,"ASB/Stock","4049775545527",0
,"ASB/Stock","4049775545831",0
,"ASB/Stock","4049775547026",0
,"ASB/Stock","4049775547538",0
,"ASB/Stock","4049775547651",0
,"ASB/Stock","4049775548030",0
,"ASB/Stock","4049775551849",0
,"ASB/Stock","4049775552723",0
,"ASB/Stock","4049775553041",0
,"ASB/Stock","4049775553133",0
