"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
"Beginning Balance MKP","MKP/Stock","8993417055225",22
,"MKP/Stock","8993417054211",2
,"MKP/Stock","8993417054228",21
,"MKP/Stock","8993417054518",20
,"MKP/Stock","8993417054525",0
,"MKP/Stock","Acnemed-07",37
,"MKP/Stock","Acnemed-04",3
,"MKP/Stock","Acnemed-03",0
,"MKP/Stock","Acnemed-05",36
,"MKP/Stock","8995232702124",21
,"MKP/Stock","Acnemed-01",47
,"MKP/Stock","8995232702209",30
,"MKP/Stock","8992821100309",0
,"MKP/Stock","8992821100361",7
,"MKP/Stock","8992821100378",0
,"MKP/Stock","VP-8992772265027-12",15
,"MKP/Stock","VP-120185-12",11
,"MKP/Stock","VP-115362-12",39
,"MKP/Stock","8809151139032",2
,"MKP/Stock","8809151131692",2
,"MKP/Stock","381370036647",9
,"MKP/Stock","381370042495",0
,"MKP/Stock","381371165568",0
,"MKP/Stock","381370042303",19
,"MKP/Stock","62600060488",4
,"MKP/Stock","62600061546",8
,"MKP/Stock","8801008600047",20
,"MKP/Stock","8801008600047-GWP-1",26
,"MKP/Stock","8801008600061",4
,"MKP/Stock","381370036463",9
,"MKP/Stock","8801008600030",0
,"MKP/Stock","8801008600030-GWP-1",36
,"MKP/Stock","AV1014",0
,"MKP/Stock","AV1012",0
,"MKP/Stock","AV1016",0
,"MKP/Stock","AV1013",0
,"MKP/Stock","79656000078",20
,"MKP/Stock","79656649598",1
,"MKP/Stock","79656400137",10
,"MKP/Stock","79656625233",1
,"MKP/Stock","79656004021",19
,"MKP/Stock","79656400885",0
,"MKP/Stock","BB-0002",1
,"MKP/Stock","BB-0001",16
,"MKP/Stock","BB-0003",0
,"MKP/Stock","79656615616",24
,"MKP/Stock","79656651508",0
,"MKP/Stock","79656649550",12
,"MKP/Stock","79656649567",19
,"MKP/Stock","BB-0006-3",0
,"MKP/Stock","79656615609",15
,"MKP/Stock","79656651515",4
,"MKP/Stock","79656649536",19
,"MKP/Stock","79656649543",17
,"MKP/Stock","79656650730",19
,"MKP/Stock","79656625226",0
,"MKP/Stock","79656603682",1
,"MKP/Stock","79656651485",18
,"MKP/Stock","8990057882730",0
,"MKP/Stock","8990057882747",0
,"MKP/Stock","8990057982751",2
,"MKP/Stock","8990057882754",3
,"MKP/Stock","8990057982768",1
,"MKP/Stock","8990057882761",1
,"MKP/Stock","8990057705350",0
,"MKP/Stock","8992843992111",41
,"MKP/Stock","8994133000070",10
,"MKP/Stock","8994133000056",3
