"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
"Beginning Balance TMG","TMG/Stock","4051892001183",0
,"TMG/Stock","8993417055928",0
,"TMG/Stock","8993417054211",0
,"TMG/Stock","8993417054228",0
,"TMG/Stock","FA-0102",0
,"TMG/Stock","FA-0103",30
,"TMG/Stock","FA-0104",100
,"TMG/Stock","FA-0105",50
,"TMG/Stock","ALKES-016",0
,"TMG/Stock","4015630065424-4015630070411",21
,"TMG/Stock","4015630064151",10
,"TMG/Stock","4015630070404",94
,"TMG/Stock","4015630058518",54
,"TMG/Stock","4015630066698",0
,"TMG/Stock","4015630066520",2
,"TMG/Stock","4015630067305",0
,"TMG/Stock","4015630067305-4015630067015",5
,"TMG/Stock","4015630067015",12
,"TMG/Stock","4015630067022",8
,"TMG/Stock","40156630982271-FP",0
,"TMG/Stock","4015630981922",19
,"TMG/Stock","4015630981939",6
,"TMG/Stock","4015630018284",84
,"TMG/Stock","4015630018277",59
,"TMG/Stock","FA-0030",0
,"TMG/Stock","FM-WX10202581",1155
,"TMG/Stock","FA-0110",0
,"TMG/Stock","FA-0111",39
,"TMG/Stock","FA-0116",0
,"TMG/Stock","8993347007882",20
,"TMG/Stock","Acnemed-07",0
,"TMG/Stock","Acnemed-04",0
,"TMG/Stock","Acnemed-03",0
,"TMG/Stock","Acnemed-05",0
,"TMG/Stock","Acnemed-01",0
,"TMG/Stock","8992821102372",0
,"TMG/Stock","8992821100309",0
,"TMG/Stock","8992821100392",0
,"TMG/Stock","8992821102396",0
,"TMG/Stock","8992821102389",0
,"TMG/Stock","8992821102358",0
,"TMG/Stock","8992821100354",4
,"TMG/Stock","8992821100361",0
,"TMG/Stock","8992821100675",0
,"TMG/Stock","8992821100415",0
,"TMG/Stock","8992821101023",0
,"TMG/Stock","8992821100378",0
,"TMG/Stock","8992821100422",0
,"TMG/Stock","8992821102624",0
,"TMG/Stock","F01A0001",10
,"TMG/Stock","FA-0243",10
,"TMG/Stock","8993478101053",0
,"TMG/Stock","8993478101077",-1
,"TMG/Stock","8993478101039",0
,"TMG/Stock","F11F0001",0
,"TMG/Stock","FA00001",0
,"TMG/Stock","FA-01079",400
,"TMG/Stock","FA-01039",-20
,"TMG/Stock","FA-2724",80
,"TMG/Stock","FA-01080",0
,"TMG/Stock","F08P0005",0
,"TMG/Stock","FA-01081",-5
,"TMG/Stock","F02E0005",4
,"TMG/Stock","FA-0085",30
,"TMG/Stock","FA-0086",0
,"TMG/Stock","SOP-S-001",0
,"TMG/Stock","UTSHI-001",1
,"TMG/Stock","H03D0001",0
,"TMG/Stock","H03D0002",0
,"TMG/Stock","8994568145537",2
,"TMG/Stock","F08G0013",0
,"TMG/Stock","F08G0008",0
,"TMG/Stock","AKURAT-C-1",-10
,"TMG/Stock","AKURAT-S-1",116
,"TMG/Stock","8993347000111",0
,"TMG/Stock","8993347012305",4
,"TMG/Stock","F03C0017",10
,"TMG/Stock","F03C0018",4
,"TMG/Stock","F03C0019",12
,"TMG/Stock","F03C0020",0
,"TMG/Stock","F12A0002",28
,"TMG/Stock","FM-WX10202424",12
,"TMG/Stock","8991003040013",13
,"TMG/Stock","ALKES-003",0
,"TMG/Stock","FM-WX10202384",-5
,"TMG/Stock","FM-WX10202385",-4
,"TMG/Stock","ALKES-007",21
,"TMG/Stock","8992112039226",0
,"TMG/Stock","8992112039219",2
,"TMG/Stock","F12A0024",0
,"TMG/Stock","F2120001",0
,"TMG/Stock","8994388180503",0
,"TMG/Stock","8994805000568",150
,"TMG/Stock","F05B0001",0
,"TMG/Stock","8994805001077",430
,"TMG/Stock","F12A0027",0
,"TMG/Stock","F12A0003",205
,"TMG/Stock","8030350952539",1
,"TMG/Stock","FA-0573",5
,"TMG/Stock","FA00007",6
,"TMG/Stock","8993430100353",0
,"TMG/Stock","FA-0248",79
,"TMG/Stock","FA-0574",5
,"TMG/Stock","FA00008",50
,"TMG/Stock","ALPINE-006",0
,"TMG/Stock","ALPINE-007",0
,"TMG/Stock","ALPINE-004",0
