"Inventory Reference","Inventories/Location","Inventories/Product","Inventories / Counted Quantity"
"Beginning Balance WEB","WEB/Stock","8993417055225",6
,"WEB/Stock","8993417054211",1
,"WEB/Stock","8993417054228",6
,"WEB/Stock","8993417054518",5
,"WEB/Stock","8993417054525",1
,"WEB/Stock","Acnemed-07",10
,"WEB/Stock","Acnemed-04",1
,"WEB/Stock","Acnemed-03",1
,"WEB/Stock","Acnemed-05",9
,"WEB/Stock","8995232702124",6
,"WEB/Stock","Acnemed-01",12
,"WEB/Stock","8995232702209",8
,"WEB/Stock","8992821100309",1
,"WEB/Stock","8992821100361",2
,"WEB/Stock","8992821100378",1
,"WEB/Stock","VP-8992772265027-12",4
,"WEB/Stock","VP-120185-12",3
,"WEB/Stock","VP-115362-12",10
,"WEB/Stock","8809151139032",1
,"WEB/Stock","8809151131692",1
,"WEB/Stock","381370036647",3
,"WEB/Stock","381370042495",0
,"WEB/Stock","381371165568",0
,"WEB/Stock","381370042303",5
,"WEB/Stock","62600060488",2
,"WEB/Stock","62600061546",2
,"WEB/Stock","8801008600047",6
,"WEB/Stock","8801008600047-GWP-1",7
,"WEB/Stock","8801008600061",2
,"WEB/Stock","381370036463",3
,"WEB/Stock","8801008600030",0
,"WEB/Stock","8801008600030-GWP-1",10
,"WEB/Stock","AV1014",1
,"WEB/Stock","AV1012",0
,"WEB/Stock","AV1016",1
,"WEB/Stock","AV1013",1
,"WEB/Stock","79656000078",5
,"WEB/Stock","79656649598",1
,"WEB/Stock","79656400137",3
,"WEB/Stock","79656625233",1
,"WEB/Stock","79656004021",5
,"WEB/Stock","79656400885",1
,"WEB/Stock","BB-0002",1
,"WEB/Stock","BB-0001",4
,"WEB/Stock","BB-0003",0
,"WEB/Stock","79656615616",7
,"WEB/Stock","79656651508",1
,"WEB/Stock","79656649550",3
,"WEB/Stock","79656649567",5
,"WEB/Stock","BB-0006-3",1
,"WEB/Stock","79656615609",4
,"WEB/Stock","79656651515",2
,"WEB/Stock","79656649536",5
,"WEB/Stock","79656649543",5
,"WEB/Stock","79656650730",5
,"WEB/Stock","79656625226",1
,"WEB/Stock","79656603682",1
,"WEB/Stock","79656651485",5
,"WEB/Stock","8990057882730",0
,"WEB/Stock","8990057882747",0
,"WEB/Stock","8990057982751",1
,"WEB/Stock","8990057882754",1
,"WEB/Stock","8990057982768",1
,"WEB/Stock","8990057882761",1
,"WEB/Stock","8990057705350",0
,"WEB/Stock","8992843992111",11
,"WEB/Stock","8994133000070",3
,"WEB/Stock","8994133000056",1
,"WEB/Stock","8992843121009",0
,"WEB/Stock","8992843101902",0
,"WEB/Stock","PC0BTRME",1
,"WEB/Stock","PC0BIGC1",1
,"WEB/Stock","PC0EGRS3",1
,"WEB/Stock","PC0BEGWT",1
,"WEB/Stock","PC0ERFCR",1
,"WEB/Stock","PC0EHC10",1
,"WEB/Stock","PC0ERDCR",1
,"WEB/Stock","6001159113744",6
,"WEB/Stock","6001159113751",11
,"WEB/Stock","6001159116684",0
,"WEB/Stock","6001159113737",0
,"WEB/Stock","BIOOIL-100",5
,"WEB/Stock","BIOOIL-200",2
,"WEB/Stock","BIOOIL-50",0
,"WEB/Stock","FM-WX10202422",3
,"WEB/Stock","793591177991",0
,"WEB/Stock","DNACR500",1
,"WEB/Stock","DNACR200",4
,"WEB/Stock","3401354309233",3
,"WEB/Stock","DNAGD200",3
,"WEB/Stock","DNAGD500",0
,"WEB/Stock","3401528520846",0
,"WEB/Stock","3401528519895",4
,"WEB/Stock","3401381463359",5
,"WEB/Stock","DNAIB500",2
,"WEB/Stock","3401381463298",0
,"WEB/Stock","3401560969757",2
,"WEB/Stock","3401560936988",2
,"WEB/Stock","3401399372346",3
,"WEB/Stock","DNAUB300",2
,"WEB/Stock","DNAUB500",0
,"WEB/Stock","Bioderma-Free Gift",4
,"WEB/Stock","3401399848254",1
,"WEB/Stock","3401399848193",2
,"WEB/Stock","3401329447748",0
,"WEB/Stock","3401329447748-FTK",31
,"WEB/Stock","3401329447809",1
,"WEB/Stock","3401528521157",2
,"WEB/Stock","3401399694127",4
,"WEB/Stock","3401347869775",6
,"WEB/Stock","3401399694356",4
,"WEB/Stock","DNPA40",0
,"WEB/Stock","DNPK100",4
,"WEB/Stock","DNPMF40",5
,"WEB/Stock","3701129801062",0
,"WEB/Stock","DNPSA40",2
,"WEB/Stock","3401574131423",2
,"WEB/Stock","3401353791220",0
,"WEB/Stock","DNBFG200",0
,"WEB/Stock","3401360147508",7
,"WEB/Stock","3401395376935",47
,"WEB/Stock","3401572288297",9
,"WEB/Stock","3401575645851",6
,"WEB/Stock","BIO-SBP500",0
,"WEB/Stock","3401348840421",2
,"WEB/Stock","DNBL200",3
,"WEB/Stock","DNBL200-FTK",35
,"WEB/Stock","DNBM30",0
,"WEB/Stock","793591177977",0
,"WEB/Stock","3401361353625",4
,"WEB/Stock","BIODERMA-BSS1",3
,"WEB/Stock","793591177984",0
,"WEB/Stock","DNSE15",4
,"WEB/Stock","3401573670282",2
,"WEB/Stock","3401381507565",2
,"WEB/Stock","3401395376706",15
,"WEB/Stock","3401395376706-FTK",28
,"WEB/Stock","3401575390447",56
,"WEB/Stock","3401345935571",17
